model_id,file1,file2,cosine_similarity,matcher_similarity,model_name,cosine_similarity_pct,matcher_similarity_pct
model_3,sam_1.wav,sam_2.wav,0.5857852697372437,0.5857852697372437,v33_ep24,58.58%,58.58%
model_3,shambu_1.wav,shambu_2.wav,0.48027199506759644,0.48027199506759644,v33_ep24,48.03%,48.03%
model_3,alexa_1.wav,alexa_2.wav,0.4062770903110504,0.4062770903110504,v33_ep24,40.63%,40.63%
model_3,alexa_1.wav,alexa_3.wav,0.6037643551826477,0.6037643551826477,v33_ep24,60.38%,60.38%
model_3,alexa_1.wav,alexa_4.wav,0.5506828427314758,0.5506828427314758,v33_ep24,55.07%,55.07%
model_3,alexa_1.wav,alexa_5.wav,0.7197244167327881,0.7197244167327881,v33_ep24,71.97%,71.97%
model_3,alexa_2.wav,alexa_3.wav,0.28449907898902893,0.28449907898902893,v33_ep24,28.45%,28.45%
model_3,alexa_2.wav,alexa_4.wav,0.2631503939628601,0.2631503939628601,v33_ep24,26.32%,26.32%
model_3,alexa_2.wav,alexa_5.wav,0.45290693640708923,0.45290693640708923,v33_ep24,45.29%,45.29%
model_3,alexa_3.wav,alexa_4.wav,0.3755285143852234,0.3755285143852234,v33_ep24,37.55%,37.55%
model_3,alexa_3.wav,alexa_5.wav,0.3482840061187744,0.3482840061187744,v33_ep24,34.83%,34.83%
model_3,alexa_4.wav,alexa_5.wav,0.3525315225124359,0.3525315225124359,v33_ep24,35.25%,35.25%
model_3,shiva_1.wav,shiva_2.wav,0.4590248465538025,0.4590248465538025,v33_ep24,45.90%,45.90%
model_3,munez_2.wav,munez_3.wav,0.8380147814750671,0.8380147814750671,v33_ep24,83.80%,83.80%
model_3,nigga2.wav,nigga3.wav,0.9568625092506409,0.9568625092506409,v33_ep24,95.69%,95.69%
model_3,kallan_1.wav,kallan_2.wav,0.5166664719581604,0.5166664719581604,v33_ep24,51.67%,51.67%
model_3,Skywalker_en-AU-jimm.mp3,Skywalker_en-AU-kylie.mp3,0.7481955885887146,0.7481955885887146,v33_ep24,74.82%,74.82%
model_3,Thunderbolt_en-AU-jimm.mp3,Thunderbolt_en-AU-kylie.mp3,0.7514485120773315,0.7514485120773315,v33_ep24,75.14%,75.14%
model_3,sam_1.wav,shambu_1.wav,0.42682918906211853,0.42682918906211853,v33_ep24,42.68%,42.68%
model_3,sam_2.wav,alexa_3.wav,0.08188142627477646,0.08188142627477646,v33_ep24,8.19%,8.19%
model_3,sam_1.wav,shiva_2.wav,0.27806827425956726,0.27806827425956726,v33_ep24,27.81%,27.81%
model_3,shambu_1.wav,alexa_1.wav,0.0979718491435051,0.0979718491435051,v33_ep24,9.80%,9.80%
model_3,shiva_1.wav,munez_2.wav,0.30986180901527405,0.30986180901527405,v33_ep24,30.99%,30.99%
model_3,alexa_2.wav,nigga3.wav,0.32885101437568665,0.32885101437568665,v33_ep24,32.89%,32.89%
model_3,kallan_2.wav,Eliza1.mp3,0.4582403302192688,0.4582403302192688,v33_ep24,45.82%,45.82%
model_3,Hello1.mp3,Skywalker_en-AU-jimm.mp3,0.24245724081993103,0.24245724081993103,v33_ep24,24.25%,24.25%
model_4,sam_1.wav,sam_2.wav,0.6142668128013611,0.6142668128013611,v33_ep19,61.43%,61.43%
model_4,shambu_1.wav,shambu_2.wav,0.6487425565719604,0.6487425565719604,v33_ep19,64.87%,64.87%
model_4,alexa_1.wav,alexa_2.wav,0.5040841102600098,0.5040841102600098,v33_ep19,50.41%,50.41%
model_4,alexa_1.wav,alexa_3.wav,0.5843446850776672,0.5843446850776672,v33_ep19,58.43%,58.43%
model_4,alexa_1.wav,alexa_4.wav,0.6009180545806885,0.6009180545806885,v33_ep19,60.09%,60.09%
model_4,alexa_1.wav,alexa_5.wav,0.5858218669891357,0.5858218669891357,v33_ep19,58.58%,58.58%
model_4,alexa_2.wav,alexa_3.wav,0.42282167077064514,0.42282167077064514,v33_ep19,42.28%,42.28%
model_4,alexa_2.wav,alexa_4.wav,0.26460298895835876,0.26460298895835876,v33_ep19,26.46%,26.46%
model_4,alexa_2.wav,alexa_5.wav,0.44869086146354675,0.44869086146354675,v33_ep19,44.87%,44.87%
model_4,alexa_3.wav,alexa_4.wav,0.4650691747665405,0.4650691747665405,v33_ep19,46.51%,46.51%
model_4,alexa_3.wav,alexa_5.wav,0.36459094285964966,0.36459094285964966,v33_ep19,36.46%,36.46%
model_4,alexa_4.wav,alexa_5.wav,0.4092351198196411,0.4092351198196411,v33_ep19,40.92%,40.92%
model_4,shiva_1.wav,shiva_2.wav,0.4955214858055115,0.4955214858055115,v33_ep19,49.55%,49.55%
model_4,munez_2.wav,munez_3.wav,0.6696116924285889,0.6696116924285889,v33_ep19,66.96%,66.96%
model_4,nigga2.wav,nigga3.wav,0.9244316816329956,0.9244316816329956,v33_ep19,92.44%,92.44%
model_4,kallan_1.wav,kallan_2.wav,0.42848047614097595,0.42848047614097595,v33_ep19,42.85%,42.85%
model_4,Skywalker_en-AU-jimm.mp3,Skywalker_en-AU-kylie.mp3,0.699487566947937,0.699487566947937,v33_ep19,69.95%,69.95%
model_4,Thunderbolt_en-AU-jimm.mp3,Thunderbolt_en-AU-kylie.mp3,0.8191732168197632,0.8191732168197632,v33_ep19,81.92%,81.92%
model_4,sam_1.wav,shambu_1.wav,0.3511156141757965,0.3511156141757965,v33_ep19,35.11%,35.11%
model_4,sam_2.wav,alexa_3.wav,0.05149523541331291,0.05149523541331291,v33_ep19,5.15%,5.15%
model_4,sam_1.wav,shiva_2.wav,0.216994971036911,0.216994971036911,v33_ep19,21.70%,21.70%
model_4,shambu_1.wav,alexa_1.wav,0.1006658673286438,0.1006658673286438,v33_ep19,10.07%,10.07%
model_4,shiva_1.wav,munez_2.wav,0.13937470316886902,0.13937470316886902,v33_ep19,13.94%,13.94%
model_4,alexa_2.wav,nigga3.wav,0.36905914545059204,0.36905914545059204,v33_ep19,36.91%,36.91%
